288
(0, 1)
(1, 0)
(0, 9)
(9, 0)
(1, 2)
(2, 1)
(1, 10)
(10, 1)
(2, 3)
(3, 2)
(2, 11)
(11, 2)
(3, 4)
(4, 3)
(3, 12)
(12, 3)
(4, 5)
(5, 4)
(4, 13)
(13, 4)
(5, 6)
(6, 5)
(5, 14)
(14, 5)
(6, 7)
(7, 6)
(6, 15)
(15, 6)
(7, 8)
(8, 7)
(7, 16)
(16, 7)
(8, 17)
(17, 8)
(9, 10)
(10, 9)
(9, 18)
(18, 9)
(10, 11)
(11, 10)
(10, 19)
(19, 10)
(11, 12)
(12, 11)
(11, 20)
(20, 11)
(12, 13)
(13, 12)
(12, 21)
(21, 12)
(13, 14)
(14, 13)
(13, 22)
(22, 13)
(14, 15)
(15, 14)
(14, 23)
(23, 14)
(15, 16)
(16, 15)
(15, 24)
(24, 15)
(16, 17)
(17, 16)
(16, 25)
(25, 16)
(17, 26)
(26, 17)
(18, 19)
(19, 18)
(18, 27)
(27, 18)
(19, 20)
(20, 19)
(19, 28)
(28, 19)
(20, 21)
(21, 20)
(20, 29)
(29, 20)
(21, 22)
(22, 21)
(21, 30)
(30, 21)
(22, 23)
(23, 22)
(22, 31)
(31, 22)
(23, 24)
(24, 23)
(23, 32)
(32, 23)
(24, 25)
(25, 24)
(24, 33)
(33, 24)
(25, 26)
(26, 25)
(25, 34)
(34, 25)
(26, 35)
(35, 26)
(27, 28)
(28, 27)
(27, 36)
(36, 27)
(28, 29)
(29, 28)
(28, 37)
(37, 28)
(29, 30)
(30, 29)
(29, 38)
(38, 29)
(30, 31)
(31, 30)
(30, 39)
(39, 30)
(31, 32)
(32, 31)
(31, 40)
(40, 31)
(32, 33)
(33, 32)
(32, 41)
(41, 32)
(33, 34)
(34, 33)
(33, 42)
(42, 33)
(34, 35)
(35, 34)
(34, 43)
(43, 34)
(35, 44)
(44, 35)
(36, 37)
(37, 36)
(36, 45)
(45, 36)
(37, 38)
(38, 37)
(37, 46)
(46, 37)
(38, 39)
(39, 38)
(38, 47)
(47, 38)
(39, 40)
(40, 39)
(39, 48)
(48, 39)
(40, 41)
(41, 40)
(40, 49)
(49, 40)
(41, 42)
(42, 41)
(41, 50)
(50, 41)
(42, 43)
(43, 42)
(42, 51)
(51, 42)
(43, 44)
(44, 43)
(43, 52)
(52, 43)
(44, 53)
(53, 44)
(45, 46)
(46, 45)
(45, 54)
(54, 45)
(46, 47)
(47, 46)
(46, 55)
(55, 46)
(47, 48)
(48, 47)
(47, 56)
(56, 47)
(48, 49)
(49, 48)
(48, 57)
(57, 48)
(49, 50)
(50, 49)
(49, 58)
(58, 49)
(50, 51)
(51, 50)
(50, 59)
(59, 50)
(51, 52)
(52, 51)
(51, 60)
(60, 51)
(52, 53)
(53, 52)
(52, 61)
(61, 52)
(53, 62)
(62, 53)
(54, 55)
(55, 54)
(54, 63)
(63, 54)
(55, 56)
(56, 55)
(55, 64)
(64, 55)
(56, 57)
(57, 56)
(56, 65)
(65, 56)
(57, 58)
(58, 57)
(57, 66)
(66, 57)
(58, 59)
(59, 58)
(58, 67)
(67, 58)
(59, 60)
(60, 59)
(59, 68)
(68, 59)
(60, 61)
(61, 60)
(60, 69)
(69, 60)
(61, 62)
(62, 61)
(61, 70)
(70, 61)
(62, 71)
(71, 62)
(63, 64)
(64, 63)
(63, 72)
(72, 63)
(64, 65)
(65, 64)
(64, 73)
(73, 64)
(65, 66)
(66, 65)
(65, 74)
(74, 65)
(66, 67)
(67, 66)
(66, 75)
(75, 66)
(67, 68)
(68, 67)
(67, 76)
(76, 67)
(68, 69)
(69, 68)
(68, 77)
(77, 68)
(69, 70)
(70, 69)
(69, 78)
(78, 69)
(70, 71)
(71, 70)
(70, 79)
(79, 70)
(71, 80)
(80, 71)
(72, 73)
(73, 72)
(73, 74)
(74, 73)
(74, 75)
(75, 74)
(75, 76)
(76, 75)
(76, 77)
(77, 76)
(77, 78)
(78, 77)
(78, 79)
(79, 78)
(79, 80)
(80, 79)
